ts,price,date
1777294825612,2313.194785452147,2026-04-27
1777298464985,2312.753414880754,2026-04-27
1777302066897,2314.79990005105,2026-04-27
1777305676774,2274.0499380002993,2026-04-27
1777309224236,2276.311634287432,2026-04-27
1777312812431,2286.979798971998,2026-04-27
1777316454674,2288.795768721829,2026-04-27
1777320031915,2287.4978476980923,2026-04-27
1777323648934,2292.0678066757678,2026-04-27
1777327243684,2287.5700938885707,2026-04-27
1777330823703,2294.5615869849207,2026-04-27
1777334441359,2303.324200998658,2026-04-28
1777338034349,2307.062663604848,2026-04-28
1777341609973,2298.9809794125313,2026-04-28
1777345256930,2287.753936430449,2026-04-28
1777348805106,2290.0795120989246,2026-04-28
1777352439155,2288.879567395556,2026-04-28
1777356038083,2289.37379344068,2026-04-28
1777359628128,2277.7838352164003,2026-04-28
1777363241713,2286.997228679014,2026-04-28
1777366842684,2286.300044269874,2026-04-28
1777370476341,2281.5439200632363,2026-04-28
1777374044023,2284.411528814966,2026-04-28
1777377618818,2274.291410722591,2026-04-28
1777381246860,2277.1014444961374,2026-04-28
1777384846987,2275.876615064551,2026-04-28
1777388457091,2270.071937112912,2026-04-28
1777392053712,2279.1086292376363,2026-04-28
1777395635150,2285.6987225339312,2026-04-28
1777399253546,2289.9353609075883,2026-04-28
1777402846174,2296.4426272769183,2026-04-28
1777406439426,2302.416855617207,2026-04-28
1777410024601,2295.6399432478747,2026-04-28
1777413645972,2290.100472598739,2026-04-28
1777417244439,2285.7498577191923,2026-04-28
1777420804407,2289.1654286867374,2026-04-29
1777424448171,2292.2521094078706,2026-04-29
1777428054486,2291.5916733296463,2026-04-29
1777431609350,2287.2648894918134,2026-04-29
1777435211810,2310.424266563083,2026-04-29
1777438857775,2327.4087495626195,2026-04-29
1777442407421,2327.926652832314,2026-04-29
1777446032152,2323.038534533562,2026-04-29
1777449611671,2322.603897566717,2026-04-29
1777453256797,2324.255335485908,2026-04-29
1777456874310,2339.6839236102223,2026-04-29
1777460450485,2332.665881101347,2026-04-29
1777464052769,2331.22092458744,2026-04-29
1777467612887,2315.4980810380544,2026-04-29
1777471215478,2302.4546880296994,2026-04-29
1777474865554,2299.8250425777887,2026-04-29
1777478433000,2271.045719977953,2026-04-29
1777482055051,2265.4560056397995,2026-04-29
1777485664652,2274.0295730400985,2026-04-29
1777489256417,2234.978407326036,2026-04-29
1777492845871,2231.9798808172236,2026-04-29
1777496419484,2243.2378409719945,2026-04-29
1777500036520,2252.525645539303,2026-04-29
1777503639682,2256.892571030021,2026-04-29
1777507247626,2253.4583579638706,2026-04-30
1777510852284,2272.417811253515,2026-04-30
1777514442998,2268.5743136877422,2026-04-30
1777518040808,2243.5848380377215,2026-04-30
1777521615318,2253.652793243644,2026-04-30
1777525238381,2238.1802105242996,2026-04-30
1777528815133,2242.642512035111,2026-04-30
1777532451768,2246.340524682904,2026-04-30
1777536060004,2258.4147260562827,2026-04-30
1777539605998,2256.0850950402264,2026-04-30
1777543241403,2262.454625390245,2026-04-30
1777546848735,2259.88722572411,2026-04-30
1777550449649,2257.505715800349,2026-04-30
1777554063147,2264.370393752583,2026-04-30
1777557651379,2262.500456753945,2026-04-30
1777561246892,2261.2027945203417,2026-04-30
1777564859945,2265.728632655298,2026-04-30
1777568403572,2255.9222451212086,2026-04-30
1777572026417,2257.490962921099,2026-04-30
1777575642635,2260.025891984724,2026-04-30
1777579239849,2261.2268524812775,2026-04-30
1777582851838,2263.6549144005644,2026-04-30
1777586447073,2254.923721801926,2026-04-30
1777590005460,2252.4207815725968,2026-04-30
1777593650261,2255.980291785015,2026-05-01
1777597240772,2258.1293798025895,2026-05-01
1777600837579,2266.9775574757728,2026-05-01
1777604401546,2264.7672399513594,2026-05-01
1777608027365,2281.8811310584447,2026-05-01
1777611624687,2279.026522048988,2026-05-01
1777615239879,2282.702640610961,2026-05-01
1777618872648,2278.3455779773335,2026-05-01
1777622472991,2278.386555936401,2026-05-01
1777626017575,2285.392742093745,2026-05-01
1777629601950,2280.7026428982736,2026-05-01
1777633254594,2280.6891468641597,2026-05-01
1777636847576,2285.9466551292085,2026-05-01
1777640445365,2302.165449050467,2026-05-01
1777644072099,2317.043014147817,2026-05-01
1777647603332,2307.6426540087937,2026-05-01
1777651245810,2306.7722652286348,2026-05-01
1777654804093,2302.4275312722457,2026-05-01
1777658453432,2311.7946760252867,2026-05-01
1777662035910,2303.79026423694,2026-05-01
1777665635718,2305.8650519796774,2026-05-01
1777669275069,2284.3702284677065,2026-05-01
1777672873603,2291.9300729584293,2026-05-01
