ts,price,date
1778212814084,79565.88415271358,2026-05-08
1778216438884,79643.43510935546,2026-05-08
1778220035144,79621.66883251265,2026-05-08
1778223635816,79482.76287784053,2026-05-08
1778227207120,79666.44198815993,2026-05-08
1778230843846,79901.01949747415,2026-05-08
1778234435344,79852.08374240961,2026-05-08
1778238040409,80195.29628009013,2026-05-08
1778241650450,80218.69695879071,2026-05-08
1778245257951,80047.65873791873,2026-05-08
1778248852100,79588.23885692912,2026-05-08
1778252428461,80097.30821841754,2026-05-08
1778256055356,80104.66044328224,2026-05-08
1778259643496,79799.24748348113,2026-05-08
1778263253315,80026.20541110853,2026-05-08
1778266824329,80134.6910565651,2026-05-08
1778270438222,80095.51493127189,2026-05-08
1778274035999,80115.99080461846,2026-05-08
1778277639322,80222.98937217446,2026-05-08
1778281241591,80272.10755156755,2026-05-08
1778284830511,80189.06503567853,2026-05-09
1778288472532,80227.05117840739,2026-05-09
1778292056529,80338.74262095778,2026-05-09
1778295606027,80403.26336788909,2026-05-09
1778299229958,80381.29773964443,2026-05-09
1778302860807,80374.19698015944,2026-05-09
1778306455441,80384.38574538061,2026-05-09
1778310034180,80225.08553906319,2026-05-09
1778313620685,80217.38206877769,2026-05-09
1778317210776,80393.63767911753,2026-05-09
1778320817112,80205.7613054906,2026-05-09
1778324464837,80252.18834131895,2026-05-09
1778328023893,80350.36116385079,2026-05-09
1778331629436,80385.0903436548,2026-05-09
1778335255965,80375.02812868063,2026-05-09
1778338828716,80321.08226008785,2026-05-09
1778342439151,80513.2583951042,2026-05-09
1778346011378,80630.9162025437,2026-05-09
1778349673657,80785.86258160052,2026-05-09
1778353241248,80879.96174929348,2026-05-09
1778356848087,80894.73012869508,2026-05-09
1778360412832,80788.8733783315,2026-05-09
1778364046614,80783.06688231578,2026-05-09
1778367654295,80742.81677374235,2026-05-09
1778371221244,80678.03394296461,2026-05-10
1778374849367,80636.17438569819,2026-05-10
1778378444524,80646.3677133728,2026-05-10
1778382042298,80740.68224066612,2026-05-10
1778385639559,80784.86044941361,2026-05-10
1778389224394,80756.84067640145,2026-05-10
1778392853710,80687.81763340271,2026-05-10
1778396449530,80707.17550393201,2026-05-10
1778400048424,80713.38278757007,2026-05-10
1778403612115,80807.26967707316,2026-05-10
1778407252849,80789.39171240719,2026-05-10
1778410836713,80866.49555629356,2026-05-10
1778414454370,80823.27765456258,2026-05-10
1778418045367,80887.27456820405,2026-05-10
1778421633610,80934.7288755923,2026-05-10
1778425218573,80932.16651690709,2026-05-10
1778428846028,81405.10348001376,2026-05-10
1778432448799,81323.98418900248,2026-05-10
1778436033629,81443.36517602435,2026-05-10
1778439645457,81264.60516402808,2026-05-10
1778443231352,81411.0286812594,2026-05-10
1778446843940,80687.32159893127,2026-05-10
1778450437546,80720.07644503274,2026-05-10
1778454039528,82025.58932286626,2026-05-10
1778457657780,82145.65606759128,2026-05-11
1778461251884,81433.73448367607,2026-05-11
1778464892366,81472.29863059585,2026-05-11
1778468449097,81179.93465005465,2026-05-11
1778472031940,80694.97932549506,2026-05-11
1778475669665,80825.82378598195,2026-05-11
1778479225445,80821.49056329245,2026-05-11
1778482804794,80841.65645012756,2026-05-11
1778486407849,80710.23791266454,2026-05-11
1778490052765,80740.62330786207,2026-05-11
1778493641944,80942.44595589298,2026-05-11
1778497233986,80942.53310700732,2026-05-11
1778500835019,81149.89283166677,2026-05-11
1778504427843,81045.84776489827,2026-05-11
1778508024126,81001.73089268175,2026-05-11
1778511618981,80898.20817826076,2026-05-11
1778515222732,81383.84565643611,2026-05-11
1778518851267,81572.92679294707,2026-05-11
1778522470456,81900.99041225105,2026-05-11
1778526034748,81876.99123747677,2026-05-11
1778529608842,81939.13911645801,2026-05-11
1778533242688,81795.30398041235,2026-05-11
1778536922901,81811.90192971023,2026-05-11
1778540447829,81823.28617527579,2026-05-11
1778544027362,81725.20771701908,2026-05-12
1778547646949,81530.92615591706,2026-05-12
1778551232124,81170.30460840944,2026-05-12
1778554842009,81222.304124304,2026-05-12
1778558445205,81026.2679937985,2026-05-12
1778562052161,81199.57392751012,2026-05-12
1778565608103,81229.06269424419,2026-05-12
1778569250449,81010.85603635802,2026-05-12
1778572845072,80862.23210418917,2026-05-12
1778576451880,80837.67211840981,2026-05-12
1778580018314,80791.43564091134,2026-05-12
1778583660041,80632.79138688132,2026-05-12
1778587247697,80745.79929009557,2026-05-12
1778590829329,80845.76358282797,2026-05-12
1778594414558,80485.01831309334,2026-05-12
1778598055258,80496.58046316024,2026-05-12
1778601630484,80336.59109533313,2026-05-12
1778605222252,79962.92388446922,2026-05-12
1778608843569,80487.83277814712,2026-05-12
1778612438712,80679.53997173761,2026-05-12
1778616035982,80788.26866585051,2026-05-12
1778619638622,80675.66918067574,2026-05-12
1778623228571,80557.61091059956,2026-05-12
1778626821547,80652.28434539585,2026-05-12
1778630459840,80480.88600120835,2026-05-13
1778634050365,80691.23503359752,2026-05-13
1778637639750,80986.08973138953,2026-05-13
1778641210455,81023.16665948738,2026-05-13
1778644804275,81195.70925003936,2026-05-13
1778648430406,81206.64457454227,2026-05-13
1778652041397,80991.70388721126,2026-05-13
